Name,2MASS Name,SDSS Name,PanSTARRS Name,Other Name,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,radius,e_radius,log_g,e_log_g,Teff,e_Teff,Mass,e_Mass,LACEwING,D_Trig,e_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,PanSTARRS_y,e_PanSTARRS_y,J,e_J,H,e_H,K,e_K,MKO_H,e_MKO_H,InDwarfArchive,L_T Transition,Priority,Declination,Visible,Ltflag,Jflag,Ranking,Star,Min,Max,R,Source,Filename,Filename2,WISE Name,Peculiarities,Member,Quality,LACEwING probability,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,Young,Gaia_G,HRV,e_HRV,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Comments,Polarization,Polflag,e_Gaia_G,MKO_J,e_MKO_J,IRAC3p6,e_IRAC3p6,IRAC4p5,e_IRAC4p5,e_WISE_W4,MKO_K,e_MKO_K,Instrument,MKO_Y,e_MKO_Y,Q/I,e_Q/I,U/I,e_U/I,Variable,e_Variable,Variable%,Variable_period,Varflag,IRAC5p8,e_IRAC5p8,IRAC8,e_IRAC8,e_Variable_period,Sp Note,MKO_L,e_MKO_L
11260310+4819256,11260310+4819256,112603.08+481925.5,112602.955+481923.498,,11 26 03.101,+48 19 25.65,171.512922,48.323792,L5,NIR,,,,,,,,,(None),,,,,,,25.608,0.464,25.032,0.525,24.214,0.478,21.647,0.253,20.434,0.037,19.402,0.038,17.198,0.183,16.756,0.06,15.43,0.147,,,,NIR,,D,,,0,,,,,,,,,J112602.96+481923.7,,,,,15.01,0.032,14.806,0.059,12.127,,9.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1126+0120,11261528+0120481,112615.30+012048.2,112615.173+012047.968,,11 26 15.287,+01 20 48.17,171.563697,1.346715,L6,NIR,,,,,,,,,(None),,,-137,21.2,13.3,20.3,23.992,1.077,22.026,0.183,21.919,0.018,21.135,0.29,20.356,0.043,19.094,0.094,16.913,0.18,15.781,0.124,14.921,0.122,,,X,NIR,,D,,,0,,1126+01,1.88203,2.52067,442.9,Leggett,L6_SDSS1126+01.txt,,J112615.18+012048.2,,,,,14.214,0.028,13.757,0.038,11.68,,8.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1126-5003,11263991-5003550,,,,11 26 39.911,-50 03 55.01,171.666297,-50.065281,L4.5,Opt,,,,,,,,,(None),16.84,0.47,-1577.26,9.9,449.29,8.7,,,,,,,,,,,,,13.997,0.032,13.284,0.036,12.829,0.029,,,X,,1,,X,,1,,11263991-5003550,0.650735,2.56263,244.6,SpeX,spex-prism_2MASSJ11263991-5003550_20061221_BUR08A.txt,,112638.11-500350.2,Peculiar Spectrum (Blue),,,,12.199,0.023,11.931,0.022,11.94,,,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,1.6,0.2,1.6,4,1,,,,,0.1,,,
J1126+5816,11264705+5816325,112647.10+581630.7,112647.130+581629.943,,11 26 47.050,+58 16 32.57,171.696043,58.275715,L3,Opt,,,,,,,,,(None),,,35.8,7.2,-208.9,15.2,23.739,1.214,25.092,1.238,21.664,0.193,20.102,0.016,18.543,0.009,17.555,0.009,15.837,0.077,15.112,0.085,14.543,0.083,,,X,,,D,X,,0,,,,,,,,,J112647.09+581630.2,,,,,14.228,0.027,13.948,0.039,12.212,,9.242,,,-22.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1127+4705,11270661+4705481,112706.61+470548.1,112706.545+470547.785,,11 27 06.527,+47 05 47.64,171.7771963,47.0965653,L1,Opt,,,,,,,,,(None),,,-53.3,7,-27.7,11.1,23.666,0.763,21.665,0.628,21.982,0.042,19.509,0.007,18.012,0.009,17.062,0.01,15.197,0.034,14.499,0.033,13.906,0.043,,,X,,,D,X,,0,,,,,,,,,J112706.55+470547.7,,,,,13.615,0.025,13.33,0.029,12.695,0.502,8.673,,19.714,-26.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1127-3735,11271382-3735076,,,,11 27 13.820,-37 35 07.62,171.807584,-37.585449,L0 (delta),NIR,1.56,0.05,4.5,0.5,2100,200,9.2,1.4,(None),,,-61.3,13.8,13.2,20.8,,,,,,,,,,,,,16.469,0.098,15.568,0.108,15.229,0.156,,,,,1,W,,,0,,,,,,,,,J112713.75-373507.6,"Red, Low-gravity (Young?)",TWA,92.5,,14.422,0.028,14.027,0.039,12.161,0.185,9.275,TWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1127+5936,11272055+5936331,112720.63+593632.7,112720.659+593633.151,,11 27 20.559,+59 36 33.12,171.835663,59.6092,L0,Opt,,,,,,,,,(None),,,76.3,11.3,11.6,31.3,23.887,0.949,21.881,0.538,20.149,0.19,20.593,0.024,19.141,0.021,18.286,0.015,16.818,0.164,15.76,0.17,15.56,0.207,,,,,,D,,,0,,,,,,,,,J112720.65+593633.1,,,,,15.268,0.035,15.166,0.072,12.693,,9.28,,,-53.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J112726.27+123433.2,11272648+1234310,112726.39+123431.8,112726.233+123433.471,,11 27 26.276,+12 34 33.29,171.8594822,12.5759133,L0.2,NIR,,,,,,,,,(None),,,-241.2,12.4,179,8.6,23.579,0.828,25.242,0.767,23.963,0.695,20.386,0.062,18.845,0.009,17.896,0.018,16.104,0.078,15.355,0.102,14.817,0.076,,,,,,D,,,0,,,,,,,,,J112726.27+123433.2,,,,,14.575,0.03,14.281,0.05,12.36,,8.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J11272648+1234310,11272648+1234310,112726.39+123431.8,112726.679+123432.094,,11 27 26.484,+12 34 31.02,171.860351,12.575284,L1.5:,NIR,,,,,,,,,(None),,,-253,15.9,186.5,11.3,23.579,0.828,21.234,0.033,19.822,0.037,19.522,0.027,19.284,0.023,18.99,0.037,16.104,0.078,15.355,0.102,14.817,0.076,,,,,,D,,,0,,,,,,,,,,,,,,14.58,0.03,14.28,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J112859.45+511016.8,11285958+5110202,,112859.439+511016.230,,11 28 59.457,+51 10 16.81,172.2477381,51.1713358,L4.1,NIR,,,,,,,,,(None),,,-117.7,9,-321.9,9.1,,,,,,,20.965,0.078,19.259,0.017,18.286,0.036,16.189,0.069,15.11,0.078,14.49,0.069,,,,,,D,,,0,,,,,,,,,J112859.45+511016.8,,,,,13.944,0.026,13.692,0.032,12.168,,9.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J11303803+2341480,11303803+2341480,,113037.621+234147.080,,11 30 38.036,+23 41 48.00,172.658485,23.696667,L2.5:p ,NIR,,,,,,,,,(None),,,-463.1,23.1,-70.2,19.4,,,,,,,21.148,0.072,19.58,0.018,18.632,0.017,16.645,0.131,15.866,0.123,15.741,0.177,,,,,,D,,,0,,,,,,,,,,Blue,,,,14.98,0.03,14.85,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J11322058-3809562,11322058-3809562,,,,11 32 20.586,-38 09 56.24,173.085775,-38.165623,L8:p,NIR,,,,,,,,,(None),,,170.7,5.8,-142.8,6.7,,,,,,,,,,,,,15.961,0.082,14.819,0.074,14.211,0.065,,,,NIR,,W,,,0,,,,,,,,,,Peculiar,,,,13.49,0.02,13.02,0.03,,,,peculiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1133+1311,11334475+1311269,113344.68+131126.4,113344.532+131125.072,,11 33 44.760,+13 11 26.99,173.436499,13.190831,L1,Opt,,,,,,,,,(None),,,-225.1,11.5,-125.5,11.9,25.84,0.805,24.605,0.723,21.689,0.165,20.045,0.009,18.531,0.011,17.561,0.01,15.698,0.052,14.933,0.061,14.422,0.051,,,X,,,D,X,,0,,,,,,,,,J113344.56+131125.3,,,,,14.072,0.027,13.825,0.039,12.357,,8.833,,,-18.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1133-7807,11335700-7807240,,,,11 33 57.003,-78 07 24.04,173.487512,-78.123344,M6:p,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,,,13.197,0.03,12.584,0.033,12.191,0.026,,,,,,,,,1,,,,,,,,,J113356.80-780723.7,FLD-G,Field,,,11.93,0.024,11.664,0.022,11.439,0.124,9.491,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1137+1126,,,113716.745+112701.388,ULAS J113717.17+112657.2,11 37 17.17,+11 26 57.2,174.32154,11.449222,T4.5,NIR,,,,,,,,,(None),,,,,,,,,22.203,0.189,21.506,0.231,,,,,,,,,,,,,,,,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,0.09,,,,,,,,,20.14,0.21,,,,,,,,,,,,,,,,,
J1138+3331,11382632+3331139,113826.35+333114.1,113826.372+333113.975,,11 38 26.323,+33 31 13.97,174.609681,33.520546,L0,Opt,,,,,,,,,(None),,,45.4,9.8,3.6,12.3,,,22.447,,22.171,0.063,20.026,0.018,18.51,0.01,17.492,0.008,15.591,0.064,14.767,0.07,14.314,0.073,,,X,,,D,X,,0,,,,,,,,,J113826.35+333113.9,,,,,13.963,0.027,13.681,0.034,12.533,,8.939,,,-34.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1138+6740,11383308+6740403,113833.08+674040.2,113833.129+674038.609,,11 38 33.138,+67 40 38.21,174.6380757,67.6772794,L0,Opt,,,,,,,,,(None),,,25.4,3.5,-129,10.5,24.094,0.959,26.021,0.574,21.782,0.12,19.365,0.012,17.912,0.01,16.953,0.008,15.215,0.041,14.482,0.05,13.95,0.046,,,X,,,D,X,,0,,,,,,,,,J113833.12+674038.8,,,,,13.65,0.025,13.367,0.028,12.77,,8.801,,19.639,7.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J174.6630-18.6530,11383920-1839120,,113839.126-183910.560,PSO J174.6630-18.6530,11 38 39.109,-18 39 10.40,174.6629527,-18.6528879,M9,Opt,,,,,,,,,(None),,,-77,11,102,12,,,,,,,20.497,0.021,19.065,0.014,18.145,0.015,16.35,0.086,15.626,0.104,15.179,0.166,,,,,,D,,,0,,,,,,,,,J113839.14-183910.9,,,,,14.847,0.034,14.563,0.065,12.281,,8.525,,20.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J11384458+0748213,11384458+0748213,113844.54+074820.5,113844.442+074819.286,,11 38 44.584,+07 48 21.37,174.685767,7.805937,L2::,NIR,,,,,,,,,(None),,,-192.2,12.7,-182.5,8.5,24.013,0.858,24.987,0.619,22.09,0.194,19.702,0.063,18.361,0.007,17.464,0.014,15.543,0.065,14.753,0.044,14.264,0.078,,,,,,D,,,0,,,,,,,,,,,,,,14.09,0.03,13.82,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1139-4321,11391441-4321106,,,,11 39 14.416,-43 21 10.62,174.810065,-43.352951,L2.5,Opt,,,,,,,,,(None),,,-90.6,12.8,36.1,19.2,,,,,,,,,,,,,16.489,0.13,15.459,0.113,14.936,0.143,,,X,,,,,,0,,,,,,,,,J113914.31-432110.2,,,,,14.665,0.031,14.311,0.042,12.799,,9.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1139-0310,11394192-0310039,113941.84-031004.5,113941.776-031004.830,,11 39 41.922,-03 10 03.91,174.924673,-3.167754,L0,Opt,,,,,,,,,(None),,,-149.4,10.1,-66.6,10.6,24.437,0.77,22.997,0.176,21.027,0.025,18.602,0.008,17.17,0.004,16.24,0.01,14.403,0.03,13.71,0.032,13.203,0.037,,,,,,D,X,,0,,,,,,,,,J113941.79-031004.7,,,,,12.916,0.023,12.646,0.026,11.72,0.279,8.406,,,-7.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1139-3324,,,,WISE J113949.24-332425.1,11 39 49.237,-33 24 25.43,174.9551542,-33.407065,T7,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,17.94,0.08,,,,W,,,0,,,,,,,,,J113949.23-332425.4,,,,,18.469,0.384,14.907,0.063,12.722,,9.105,,,,,,,,,MKO JHK Photometry from SOAR/OSIRIS,,,,17.97,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWA26,11395113-3159214,,,TWA26,11 39 51.140,-31 59 21.50,174.963082,-31.989305,M9 (gamma),Opt,2.2,0.22,4.13,0.16,2641,192,35.3,13.73,TW Hya,41.98,4.55,-81.2,3.9,-27.7,2.1,,,,,,,,,,,,,12.686,0.026,11.996,0.022,11.503,0.023,,,,,1,W,X,,1,1,11395113-3159214,0.650594,2.55946,244.2,SpeX,spex-prism_2MASSJ11395113-3159214_20070316_LOO07B.txt,,J113951.06-315921.7,"Red, Low-gravity (Young?)",TW Hya,Likely Member,97,11.166,0.023,10.819,0.02,10.575,0.083,8.499,TW Hya,,11.6,2,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J1140-0624,,,114025.314-062412.912,LP 673-26,11 40 25.297,-06 24 13.41,175.1054042,-6.4037258,M5,Opt,,,,,,,,,(None),,,,,,,,,17.473,0.006,16.185,0.005,14.468,0.002,13.693,0.002,13.285,0.002,,,,,,,,,,,,D,,,0,,,,,,,,,J114025.30-062412.1,,,,,10.884,0.024,10.705,0.02,10.434,0.085,8.521,,14.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J175.2003+16.1403,11404806+1608255,114048.05+160825.2,114048.051+160825.042,PSO J175.2003+16.1403,11 40 48.066,+16 08 25.57,175.200273,16.140436,L5,Opt,,,,,,,,,(None),,,-13,19,-35,22,25.502,0.875,25.309,0.77,22.68,0.812,21.724,0.087,20.135,0.027,19.023,0.034,16.864,0.151,16.135,0.242,15.228,0.126,,,,Opt,,D,,,0,,,,,,,,,J114048.05+160825.0,,,,,14.616,0.031,14.257,0.049,12.206,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J11411438+1941149,11411438+1941149,114114.35+194113.4,114114.326+194111.966,,11 41 14.384,+19 41 14.92,175.309935,19.687477,L0:,NIR,,,,,,,,,(None),,,-63.2,11.3,-210.1,11.4,26.238,0.369,23.528,0.271,21.721,0.084,19.459,0.008,18.008,0.008,17.076,0.007,15.276,0.047,14.453,0.052,14.084,0.056,,,,,,D,,,0,,,,,,,,,,,,,,13.66,0.03,13.41,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1141+4116,11414410+4116568,114144.13+411656.7,114144.187+411656.395,,11 41 44.193,+41 16 56.29,175.4341384,41.2823035,L0,Opt,,,,,,,,,(None),,,69.5,8.9,-20.6,14.1,24.411,1.103,20.086,0.594,22.067,0.004,19.867,0.012,18.345,0.012,17.432,0.006,15.683,0.067,14.784,0.065,14.567,0.075,,,,,,D,X,,0,,,,,,,,,J114144.17+411656.4,,,,,14.174,0.028,13.921,0.036,11.852,,8.729,,20.017,-17.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA  J114156.67-332635.5,,,,,11 41 56.675,-33 26 35.55,175.4861447,-33.4432073,Y0,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,20.15,0.15,,,,W,,,0,,,,,,,,,J114156.67-332635.5,,,,,17.079,0.117,14.611,0.055,11.728,0.213,8.981,,,,,,,,,,,,,,,16.64,0.08,14.66,0.03,,,,,20.33,0.14,,,,,,,,,,,,,,,,,
2MASS J11430272+1905440,11430272+1905440,114302.72+190541.9,114302.744+190540.095,,11 43 02.725,+19 05 44.06,175.761353,19.095573,L7::p,NIR,,,,,,,,,(None),,,6.7,20.7,-265.2,21.7,25.723,0.608,25.195,0.576,24.874,0.616,22.785,0.281,20.456,0.028,19.269,0.043,16.772,0.178,15.798,0.147,15.014,0.144,,,,NIR,,D,,,0,,,,,,,,,,Peculiar,,,,14.42,0.03,13.96,0.04,,,,peculiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J175.8169-20.4072,,,114316.039-202426.102,PSO J175.8169-20.4072,11 43 16.035,-20 24 25.83,175.8168114,-20.407175,T2,Opt,,,,,,,,,(None),,,-38,9,-137,8,,,,,,,,,20.469,0.055,19.1,0.033,,,,,,,,,,Opt,,D,,,0,,,,,,,,,J114316.03-202425.8,,,,,15.583,0.046,14.582,0.062,12.372,0.504,8.659,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,
J1143+4431,,,114338.758+443136.792,WISE J114340.22+443123.8,11 43 40.229,+44 31 24.01,175.9176221,44.5233348,T8.5,NIR,,,,,,,,,(None),,,,,,,,,,,,,21.81,0.19,20.958,0.138,20.878,0.192,,,,,,,19.04,0.06,,,,D,,,0,,,,,,,,,J114340.22+443124.0,,,,,18.722,0.38,15.188,0.064,12.861,,9.544,,,,,,,,,,,,,18.76,0.04,17.14,0.06,15.16,0.02,,,,,,,,,,,,,,,,,,,,,,,
J1145+2317,11455714+2317297,114557.19+231729.3,114557.288+231728.859,2MASSW J1145572+231730,11 45 57.293,+23 17 28.58,176.4887226,23.2912729,L1.5,Opt,,,,,,,,,(None),,,154.63,14.99,-55.67,9.45,24.095,0.852,24.067,0.413,21.823,0.079,19.702,0.016,18.303,0.013,17.355,0.01,15.385,0.05,14.549,0.048,13.945,0.057,,,X,,,D,X,,0,,,,,,,,,J114557.25+231728.9,,,,,13.537,0.025,13.262,0.03,12.596,,8.711,,20.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146+2230,11463449+2230527,114634.51+223053.0,114634.518+223053.700,2MASSW J1146345+223053,11 46 34.491,+22 30 52.74,176.643712,22.51465,L2.5,NIR,,,5,0.5,1800,100,,,(None),28.65,0.82,32.05,0.5,90.49,0.5,24.256,0.955,23.627,0.32,21.198,0.033,18.865,0.009,17.373,0.004,16.349,0.005,14.165,0.028,13.182,0.026,12.59,0.026,,,X,,,D,X,,0,,1146+2230AB,0.932289,2.412105,1809.7,IRTF,L3_2MASSJ1146+2230AB.txt,spex-prism_2MASSWJ1146345+223053_20080112_BUR10A.txt,J114634.51+223053.5,Binary,,,,12.03,0.023,11.726,0.022,11.183,0.161,8.73,,,0.1,4.6,,,,,Binary: a=0.29 @ 199 deg (4/28/2000) (Reid et al. 2001),,,,,,,,,,,,,SpeX,,,,,,,,,,,,,,,,,,,
2MASS J11470302-1032547,11470302-1032547,,114703.153-103257.177,,11 47 03.029,-10 32 54.77,176.762621,-10.548548,L3,NIR,,,,,,,,,(None),,,128,18.1,-174.2,16.5,,,21.242,0.226,,,21.33,0.028,19.754,0.023,18.771,0.021,16.487,0.118,15.565,0.108,14.843,0.126,15.51,0.03,,,,D,,,0,,,,,,,,,,,,,,14.4,0.03,14.12,0.05,,,,,,,,,,,,,,,,16.61,0.04,,,,,,14.9,0.04,,,,,,,,,,,,,,,,,,,,
WISEA 1147-2040,11472421-2040204,,114724.103-204021.499,114724.10-204021.3,11 47 24.214,-20 40 20.44,176.85089,-20.672344,L7:,NIR,,,4,0.5,1500,100,13,,(None),,,-122.1,12,-74.5,11.3,,,,,,,,,21.063,0.101,19.881,0.091,17.511,,15.764,0.112,14.872,0.106,15.764,0.112,,NIR,1,D,,,0,,,,,,,,,J114724.10-204021.3,Red,TW Hya,Likely Member,,13.718,0.026,13.09,0.03,12.155,,8.913,TW Hya,,,,,,,,,,,,17.445,0.029,,,,,,14.872,0.011,,19.16,0.067,,,,,,,,,,,,,,,,,
2MASS J11473434+2153590,11473434+2153590,114734.24+215359.0,114734.109+215358.700,,11 47 34.346,+21 53 59.09,176.893107,21.899748,L1.5:,NIR,,,,,,,,,(None),,,-280.2,20.1,-37,19.2,25.404,0.655,24.461,0.504,23.754,0.402,21.094,0.066,19.822,0.022,18.931,0.022,16.739,0.136,15.724,0.145,15.288,0.136,,,,,,D,,,0,,,,,,,,,,,,,,14.92,0.04,14.61,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1148-2836,11480096-2836488,,114800.893-283649.005,,11 48 00.961,-28 36 48.90,177.004005,-28.613583,L1 (beta),NIR,1.55,0.04,3.5,0.5,1800,100,8.5,1.4,(None),,,-74.3,13.5,-19.4,16.1,,,24.055,,21.589,,20.707,0.026,19.33,0.027,18.282,0.012,16.113,0.08,15.186,0.081,14.563,0.084,,,,,1,W,,,0,,11480096-2836488,0.645309,2.55543,243.4,Montreal,J11480096-2836488.txt,,J114800.89-283649.0,"Red, Low-gravity (Young?)",TWA,68.9,,14.162,0.028,13.847,0.037,12.185,,9.185,TWA,,,,,,,,,,,,,,,,,,,,,SPeX,,,,,,,,,,,,,,,,,,,
J1148+0254,11480423+0254057,114804.25+025405.6,114804.213+025404.917,,11 48 04.189,+02 54 04.61,177.0174537,2.9012799,L0,Opt,,,,,,,,,(None),,,25.91,20.16,-41.15,17.66,26.021,0.51,19.815,0.383,18.607,0.188,20.243,0.013,18.81,0.009,17.914,0.015,16.112,0.099,15.376,0.121,15.203,0.207,,,X,,,D,,,0,,,,,,,,,J114804.21+025404.9,,,,,14.495,0.031,14.276,0.05,11.966,,8.679,,20.521,11.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1148+0203,11480502+0203509,114805.09+020348.9,114805.172+020347.461,,11 48 05.021,+02 03 50.97,177.020919,2.064157,L1,Opt,,,,,,,,,(None),,,237.56,21.09,-322.22,19.97,25.05,0.677,24.054,0.385,22.555,0.167,19.985,0.312,18.268,0.006,17.296,0.014,15.517,0.073,15.01,0.109,14.509,0.116,,,X,,,D,X,,0,,,,,,,,,114805.16+020347.6,,,,,14.17,0.03,13.879,0.045,12.106,,,,,-35.4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1149-0153,11491231-0153003,114912.31-015300.6,114912.174-015300.648,,11 49 12.151,-01 53 00.92,177.3006312,-1.8835883,L1,Opt,,,,,,,,,(None),,,-155.9,11.4,-30.7,12.1,25.943,0.596,23.258,0.314,21.314,0.024,18.644,0.012,17.213,0.005,16.384,0.005,14.671,0.037,14.131,0.044,13.709,0.066,,,,,,D,X,,0,,,,,,,,,J114912.18-015300.7,,,,,13.398,0.026,13.05,0.03,11.721,0.289,8.927,,18.916,13.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1149-0143,,,114925.254-014338.743,ULAS J114925.58-014343.2,11 49 25.58,-01 43 43.2,177.35658,-1.728667,T5,NIR,,,,,,,,,(None),,,,,,,,,18.716,0.012,17.791,0.005,17.369,0.003,17.185,0.004,17.062,0.006,,,,,,,18.17,0.03,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.11,0.03,,,,,,18.34,0.2,,19.29,0.07,,,,,,,,,,,,,,,,,
2MASS J11501322+0520124,11501322+0520124,115013.17+052012.2,115013.020+052009.982,,11 50 13.223,+05 20 12.41,177.555096,5.33678,L5.5:p ,NIR,,,,,,,,,(None),,,-259.4,16.1,-228.8,26.6,25.072,0.718,24.666,0.512,23.714,0.377,21.19,0.064,19.311,0.021,18.252,0.021,16.252,0.142,15.455,0.135,15.016,0.174,,,X,NIR,,D,,,0,,,,,,,,,115013.04+052010.3,Blue,,,,14.03,0.03,13.68,0.04,12.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1150+6302,,,115013.134+630228.989,WISEPC J115013.88+630240.7,11 50 13.853,+63 02 41.32,177.5577203,63.0448125,T8,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.554,0.053,,,17.72,0.08,18.01,,16.65,,,,X,,,D,,,0,,,,,,,,,J115013.85+630241.3,,,,,16.958,0.089,13.405,0.028,12.375,0.303,9.046,,,,,,,,,,,,,,,15.614,0.026,13.429,0.018,,,,,,,,,,,,,,,,,,,,,,,
J1150+0949,,,115039.152+094949.795,ULAS J115038.79+094942.9,11 50 38.79,+09 49 42.9,177.66163,9.828583,T6.5p,NIR,,,,,,,,,(None),59.52,26.57,,,,,,,21.172,0.049,20.688,0.025,20.391,0.022,20.249,0.051,20.223,0.185,,,,,,,19.23,0.06,X,NIR,1,D,,1,0,1,,,,,,,,,Peculiar Spectrum,,,,,,,,,,,Peculiar Spectrum,,,,,,,,,,,,18.68,0.04,,,,,,19.06,0.05,,19.92,0.08,,,,,,,,,,,,,,,,,
J1152+0359,,,115229.656+035927.159,ULAS J115229.67+035927.2,11 52 29.634,+03 59 26.85,178.1234734,3.9907926,T6,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,19.807,0.068,,,,,,,17.7,0.05,,NIR,1,D,,1,0,1,,,,,,,,J115229.63+035926.8,,,,,16.852,0.106,15.142,0.083,12.481,0.497,8.997,,,,,,,,,,,,,17.28,0.02,,,,,,17.77,0.12,,18.54,0.03,,,,,,,,,,,,,,,,,
J1152+1134,,,115239.799+113407.247,ULAS J115239.94+113407.6,11 52 39.941,+11 34 06.99,178.1664188,11.5686091,T8.5,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,21.24,0.167,20.362,0.175,,,,,,,18.66,0.1,,,,D,,,0,,,,,,,,,J115239.94+113406.9,,,,,16.825,0.106,14.649,0.063,11.681,0.41,8.439,,,,,,,,,,,,,18.26,0.04,,,,,,18.32,0.17,,19.3,0.06,,,,,,,,,,,,,,,,,
J1152+6432,11525006+6432523,115250.04+643252.3,115250.014+643252.278,,11 52 50.061,+64 32 52.32,178.208589,64.547867,L2,Opt,,,,,,,,,(None),,,-22,4.1,5.1,11.6,24.023,0.803,23.534,0.549,21.912,0.195,19.992,0.017,18.519,0.018,17.504,0.012,15.599,0.05,14.64,0.057,14.086,0.06,,,X,,,D,X,,0,,,,,,,,,J115250.01+643252.3,,,,,13.728,0.025,13.421,0.028,12.868,0.522,9.319,,,-20.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1153-0147,,,115339.076-014723.258,ULAS J115338.74-014724.1,11 53 38.636,-01 47 24.15,178.4109819,-1.7900415,T6,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,20.12,0.18,,,,,,,17.97,0.02,X,NIR,1,D,,1,0,1,,,,,,,,J115338.63-014724.1,,,,,17.769,0.23,16.063,0.204,11.874,,8.558,,,,,,,,,,,,,17.59,0.02,,,,,,17.83,0.02,,19.1,0.03,,,,,,,,,,,,,,,,,
J1153+5032,11533966+5032092,115339.69+503209.4,115339.778+503209.807,,11 53 39.785,+50 32 09.77,178.4157713,50.536046,L1:,Opt,,,,,,,,,(None),,,83.98,18.54,60.12,17.37,23.411,0.441,23.695,0.264,20.886,0.024,18.428,0.005,16.989,0.004,16.005,0.007,14.189,0.029,13.305,0.026,12.851,0.026,,,X,,,D,X,,0,,,,,,,,,J115339.75+503209.6,,,,,12.499,0.023,12.262,0.023,11.799,0.211,9.119,,18.591,-2.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
