Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,r_SpT,Peculiarities,r_Peculiarities,Member,Quality,r_Member,LACEwING,LACEwING probability,D_Trig,e_D_Trig,r_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,HRV,e_HRV,r_RV,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,e_WISE_W4,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,IRAC3p6,e_IRAC3p6,r_IRAC3p6,IRAC4p5,e_IRAC4p5,r_IRAC4p5,IRAC5p8,e_IRAC5p8,r_IRAC5p8,IRAC8,e_IRAC8,r_IRAC8,MKO_Y,e_MKO_Y,r_MKO_Y,J,e_J,H,e_H,K,e_K,JHKRef,MKO_J,e_MKO_J,MKO_H,e_MKO_H,MKO_K,e_MKO_K,MKORef,MKO_L,e_MKO_L,r_MKO_L,Variable,e_Variable,r_Variable,Variable_period,e_Variable_period,r_Variable_period,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Q/I,e_Q/I,U/I,e_U/I,Polarization Ref,InDwarfArchive,Comments,L-T Transition,Young,Variable%,Polarization,Priority,Declination,Visible,Varflag,Polflag,Ltflag,Jflag,Ranking,Star,Min,Max,R,Instrument,Source,Filename,Filename2,Sp Note
J0457-0207,04574602-0207179,045746.08-020719.2,,WISE J045746-020719,Bihain2013,04 57 46.10,-02 07 19.3,74.442079,-2.122019,T2,NIR,Bihain2013,,,,,,(None),,,,,82,9,-97,8,Bihain2013,,,,13.391,0.026,12.443,0.025,11.02,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.897,0.038,14.198,0.045,14.022,0.055,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,1,D,X,,,1,,1,,,,,,,,,
J0458+6434,,045853.89+643452.5,,WISEPA J045853.89+643452.9,Mainzer2011,04 58 53.89,+64 34 52.9,74.724542,64.581361,T8.5,NIR,Kirkpatrick2011,Binary,Gelino2011,,,,(None),,14.37,3.84,Dupuy2013,,,,,,,,,16.37,0.088,13.003,0.03,12.029,0.256,>9.260,,,,,,,,,,,,15.08,0.022,Kirkpatrick2011,12.985,0.017,Kirkpatrick2011,,,,,,,18.34,0.07,Kirkpatrick2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Binary:a=0''.51+/-0''.02 @ 320deg+/-1deg on 2010 Mar 24; Gelino et al. (2011),,,,,,D,,,,,,0,,,,,,,,,
J0459+1541,04592088+1541054,045921.20+154059.4,,WISEA J045921.21+154059.2,Kirkpatrick2014,04 59 21.22,+15 40 59.2,74.83841,15.683116,L0 sd,NIR,Kirkpatrick2014,Subdwarf,Kirkpatrick2014,,,,(None),,,,,399.4,7.8,-533.2,9.1,GagneBDs,,,,14.128,0.032,13.869,0.049,>12.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.957,0.031,14.613,0.047,14.3,0.062,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0500-1223,,050003.04-122343.2,,WISEPA J050003.05-122343.2,Kirkpatrick2011,05 00 03.05,-12 23 43.2,75.012708,-12.395333,T8,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,17.762,0.276,13.973,0.046,>12.500,,>8.845,,,,,,,,,,,,15.947,0.029,Kirkpatrick2011,13.999,0.019,Kirkpatrick2011,,,,,,,,,,,,,,,,,17.782,0.496,18.132,0.121,,,Kirkpatrick2011,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J0500+0330,05002100+0330501,050021.01+033046.5,,,Reid2008,05 00 21.00,+03 30 50.1,75.0875,3.513917,L4,Opt,Reid2008,,,,,,(None),,13.54,0.36,Dieterich2014,13.2,10.3,-355.8,10.7,GagneBDs,,,,11.514,0.022,11.249,0.022,10.962,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.669,0.021,12.683,0.022,12.062,0.023,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,1,1,,,,,,,,,
J0501-0010,05012406-0010452,050124.20-001047.0,,2MUCD 20198,Reid2008,05 01 24.06,-00 10 45.2,75.35025,-0.179222,L4  gamma,Opt,Cruz2009,Young,Cruz2009,,,,AB Dor,59,19.60784314,1.422529796,Faherty2016,190.3,9.5,-142.8,12.5,Faherty2016,21.77,0.66,Faherty2016,12.05,0.024,11.518,0.022,10.952,0.107,9.165,,,,,,,,,,,,,,,,,,,,,,,,,,,14.982,0.036,13.713,0.033,12.963,0.034,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,AB Dor,,,1,D,X,,,,,0,05012406-0010452,0.937191,2.42222,1817.8,SPeX,Montreal,J05012406-0010452.txt,,
J0502+1442,05021345+1442367,050213.49+144236.5,,2MASSI J0502134+144236,Schmidt2010,05 02 13.45,+14 42 36.7,75.556042,14.710194,L0,Opt,Schmidt2010,,,,,,(None),,,,,50.5,6.7,-18.9,8.8,GagneBDs,,,,12.618,0.03,12.409,0.03,10.572,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.271,0.023,13.392,0.019,12.955,0.028,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0510-4208,05103524-4208146,051035.35-420808.5,,,Looper2007,05 10 35.24,-42 08 14.7,77.646834,-42.137405,T5,NIR,Looper2007,,,,,,(None),,,,,117.5,20.8,588.8,32.1,GagneBDs,,,,15.672,0.036,13.986,0.032,12.071,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.222,0.087,16.237,0.156,15.996,0.283,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,,,,,1,,,05103520-4208140,0.647873,2.55881,244,SpeX Prism,SpeX,spex-prism_2MASSJ05103520-4208140_20060902_LOO07A.txt,,
J0510-1843,05104958-1843548,,,,,05 10 49.58,-18 43 54.8,77.706583,-18.731889,L2 beta,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,(None),,,,,88.2,9.5,-39.9,10.6,Faherty2016,,,,13.256,0.025,12.94,0.029,12.68,,9.188,,,,,,,,,,,,,,,,,,,,,,,,,,,15.352,0.056,14.341,0.053,13.813,0.055,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Red, low-gravity",,,1,D,X,,,,,0,,,,,,,,,
J0512-2949,05120636-2949540,051206.35-294953.0,,2MASSI J0512063-294954,Cruz2003,05 12 06.36,-29 49 54.0,78.026501,-29.831667,L5 gamma,Opt,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,(None),,,,,-10,13,80,15,Faherty2016,,,,12.378,0.023,11.921,0.023,11.329,0.105,9.103,,,,,,,,,,,,,,,,,,,,,,,,,,,15.463,0.055,14.156,0.047,13.285,0.041,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,"Red, low-gravity",,,1,W,X,,,,,0,,,,,,,,,
J0512-3004,,051208.66-300404.4,,WISE J051208.66-300404.4,Mace2013,05 12 08.67,-30 04 04.2,78.036146,-30.067845,T8.5,NIR,Mace2013,,,,,,(None),,,,,,,,,,,,,>18.24,,15.24,0.1,12.53,0.31,>9.48,,,,,,,,,,,,17.64,0.08,Mace2013,15.58,0.02,Mace2013,,,,,,,,,,,,,,,,,19.21,0.09,19.66,0.41,,,Mace2013,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,0,,,,,,,,,
J0513+0608,05131727+0608190,051317.27+060814.7,,WISEPA J051317.28+060814.7,Kirkpatrick2011,05 13 17.28,+06 08 14.7,78.322001,6.137417,T6.5,NIR,Kirkpatrick2011,,,,,,(None),,,,,-2,25.8,-421.2,28,GagneBDs,,,,15.821,0.068,13.855,0.046,>12.397,,>9.10,,,,,,,,,,,,15.108,0.022,Kirkpatrick2011,13.949,0.018,Kirkpatrick2011,,,,,,,,,,16.21,0.06,16.13,0.08,16.05,0.11,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0516-0445,05160945-0445499,051609.28-044552.4,,,Burgasser2003,05 16 09.45,-04 45 49.9,79.039376,-4.763861,T5.5,NIR,Burgasser2006,,,,,,(None),,22.47,3.28,Faherty2012,-267.92,29.88,-209.32,29.8,Burgasser2003,,,,15.49,0.05,13.665,0.04,11.567,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.984,0.078,15.721,0.164,15.486,0.204,2MASS,,,,,15.77,0.01,Scholz2012?,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,X,,,1,,1,05160945-0445499,0.650782,2.55972,244.2,SpeX Prism,SpeX,spex-prism_2MASSJ05160945-0445499_20051017_BUR08B.txt,,
J0518-3101,05181131-3101529,,,,,05 18 11.31,-31 01 52.9,79.547125,-31.031361,M7 beta,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,Columba,32,,,,41.6,6.8,0.8,8.1,Faherty2016,,,,10.641,0.023,10.403,0.019,10.111,0.043,9.127,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,11.878,0.026,11.234,0.022,10.9,0.019,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columba,,,1,W,X,,,,2,2,05181131-3101529,0.805112,2.42154,1790.4,SPeX,Montreal,J05181131-3101529.txt,,
J0518-2756,05184616-2756457,051846.18-275645.8,,2MUCD 10381,Cruz2007,05 18 46.16,-27 56 45.7,79.692333,-27.946028,L1  gamma,Opt,Cruz2007,Young,Cruz2007,Columba,Likely Member,Faherty2016,Columba,68,46.72897196,15.06681806,Faherty2016,28.6,4.2,-16,4,Faherty2016,24.35,0.19,Faherty2016,13.045,0.024,12.661,0.026,12.581,0.349,9.219,,,,,,,,,,,,,,,,,,,,,,,,,,,15.262,0.041,14.295,0.045,13.615,0.039,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Columba,,,1,W,X,,,,,0,,,,,,,,,
J0518-2828,05185995-2828372,051859.89-282840.3,,,Cruz2004,05 18 59.95,-28 28 37.2,79.749792,-28.477,L7,Opt,Kirkpatrick2008,Binary,Cruz2004 ; Burgasser2006b,,,,(None),,22.88,0.42,Dupuy2012,-70.9,9.1,-272.8,11.2,GagneBDs,,,,13.388,0.025,12.825,0.025,11.895,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.978,0.096,14.83,0.072,14.162,0.071,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,Binary: sep=0.051+/-0.012'' @ 189+/-8 deg on 2004 Sep 7 (Burgasser et al. 2006),Opt,,,,1,W,X,,,1,,1,05185995-2828372,0.656449,2.55843,244.5,SpeX Prism,SpeX,spex-prism_2MASSJ05185995-2828372_20030919_CRU04A.txt,,
J0521+1025,05212622+1025294,052126.29+102528.4,,WISE J052126+102527,Bihain2013,05 21 26.31,+10 25 28.4,80.359612,10.424549,T7.5,NIR,Bihain2013,,,,,,(None),,,,,232,9,-418,6,Bihain2013,,,,14.098,0.031,12.286,0.026,10.306,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,,15.222,0.103,>14.797,,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0523-1403,05233822-1403022,052338.29-140300.4,,2MASSI J0523382-140302,Cruz2003,05 23 38.22,-14 03 02.2,80.90925,-14.050611,L2.5,Opt,Cruz2003,,,,,,(None),,12.35,0.27,Dieterich2014,28.67,148.4,74.69,158.34,Schmidt2007,12.2,0.1,Blake2010,11.156,0.023,10.864,0.02,10.498,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.084,0.021,12.22,0.02,11.638,0.026,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,1,1,,,,,,,,,
J0525+6739,,052536.35+673952.6,,WISEPA J052536.33+673952.3,Kirkpatrick2011,05 25 36.33,+67 39 52.3,81.401375,67.664528,T6 p,NIR,Kirkpatrick2011,Peculiar Spectrum,Kirkpatrick2011,,,,(None),,,,,,,,,,,,,17.92,0.33,14.899,0.083,>12.727,,>9.128,,,,,,,,,,,,16.404,0.036,Kirkpatrick2011,14.881,0.021,Kirkpatrick2011,,,,,,,,,,,,,,,,,17.49,0.04,17.87,0.05,,,Kirkpatrick2011,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0525-7426,05253876-7426008,052539.54-742557.3,,,Kirkpatrick2010,05 25 38.76,-74 26 00.8,81.4115,-74.433556,L2,Opt,Kirkpatrick2010,,,,,,(None),,,,,276.5,2.3,307.4,11.6,GagneBDs,,,,14.016,0.026,13.565,0.026,11.967,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.713,0.069,14.966,0.097,14.433,0.098,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
J0526-1824,05264316-1824315,,,,,05 26 43.16,-18 24 31.5,81.679833,-18.40875,M7 beta,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,Columba,29,,,,24.7,9.3,-22.7,9.5,Faherty2016,,,,11.201,0.023,10.944,0.021,10.79,0.081,8.984,,,,,,,,,,,,,,,,,,,,,,,,,,,12.358,0.019,11.836,0.022,11.448,0.021,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columba,,,1,D,X,,,,1,1,05264316-1824315,0.803544,2.42178,1744.8,SPeX,Montreal,J05264316-1824315.txt,,
J0526-4455,05264348-4455455,052643.47-445547.3,,,Kendall2007,05 26 43.48,-44 55 45.5,81.681167,-44.929306,M9.5,Opt,Kirkpatrick2008,,,,,,(None),,,,,13.5,13.52,-167.76,14,Hambly2001,,,,12.374,0.023,12.083,0.022,11.754,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.082,0.03,13.307,0.027,12.705,0.026,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
J0526-5026,05265973-5026216,052659.76-502619.4,,,Reid2008,05 26 59.73,-50 26 21.6,81.748892,-50.439339,L3,Opt,Reid2008,,,,,,(None),,,,,26,5.8,212,9.8,GagneBDs,,,,13.041,0.024,12.733,0.023,12.593,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.412,0.065,14.395,0.045,13.64,0.044,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
J0528-3308,,052844.51-330823.9,,WISEPA J052844.51-330823.9,Kirkpatrick2011,05 28 44.51,-33 08 23.9,82.185458,-33.139972,T7 p,NIR,Kirkpatrick2011,Peculiar Spectrum,Kirkpatrick2011,,,,(None),,,,,,,,,,,,,17.73,0.23,14.6,0.06,12.27,0.24,>9.33,,,,,,,,,,,,16.308,0.034,Kirkpatrick2011,14.593,0.02,Kirkpatrick2011,,,,,,,,,,,,,,,,,16.666,0.087,16.97,0.141,17.119,0.153,Kirkpatrick2011,,,,,,,,,,,,,,,,,,,X,,,,,,,W,,,,,,0,,,,,,,,,
J0530+6253,05301261+6253254,053012.64+625324.5,,,Reid2008,05 30 12.61,+62 53 25.4,82.552542,62.890389,L1,Opt,Reid2008,,,,,,(None),,,,,18.2,4.1,-94.3,10.4,GagneBDs,,,,12.259,0.026,11.961,0.023,11.035,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.053,0.023,13.264,0.032,12.709,0.026,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0530-0524,,,,UGCS J053022.52-052447.4,Lodieu2008,05 30 22.52,-05 24 47.4,82.593834,-5.413167,T7,NIR,Lodieu2009,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35,0.07,19.13,0.29,,,Lodieu2009,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J0532+8246,05325346+8246465,,,,Burgasser2003c,05 32 53.46,+82 46 46.5,83.22275,82.779583,L7 sd,Opt,Burgasser2007b,Subdwarf,Burgasser2007b,,,,(None),,23.65,0.98,Schilbach2009,2041.9,1.51,-1648.19,1.34,Burgasser2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.179,0.058,14.904,0.091,14.918,0.145,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Opt,,,,1,W,X,,,1,,1,,,,,,,,,
J0532+0418,05325710+0418471,053257.29+041842.6,,WISEA J053257.29+041842.5,Kirkpatrick2014,05 32 57.30,+04 18 42.5,83.238749,4.311815,L3,NIR,Kirkpatrick2014,,,,,,(None),,,,,263.9,11.1,-428.5,14.9,GagneBDs,,,,13.286,0.026,12.971,0.031,11.347,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44,0.062,14.415,0.056,13.855,0.06,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0534-0631,05341594-0631397,,,,,05 34 15.94,-06 31 39.7,83.566417,-6.527694,M8 gamma,Opt,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,(None),,,,,2,12,-7,12,Faherty2016,,,,14.785,0.036,14.256,0.056,11.59,,8.265,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,16.054,0.076,15.369,0.096,14.94,0.097,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Red, low-gravity",,,1,D,,,,,,0,05341594-0631397,0.649644,2.56117,244.3,SpeX Prism,SpeX,spex-prism_2MASSJ05341594-0631397_20061208_KIR10A.txt,,
J0535-7500,,053516.80-750024.9,,WISE J053516.80-750024.9,Kirkpatrick2012,05 35 16.80,-75 00 24.9,83.82,-75.006917,>= Y1:,NIR,Kirkpatrick2012,,,,,,(None),,4,1.26,Marsh2013,,,,,,,,,>18.921,,15.064,0.066,13.116,0.451,>9.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>,21.6,,,51-Dupuy2012,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
J0536-1920,05361998-1920396,053620.00-192039.9,,2MUCD 10397,Cruz2007,05 36 19.98,-19 20 39.7,84.083252,-19.344357,L2  gamma,Opt,Cruz2007,Young,Cruz2007,,,,beta Pic,31,39.06,14.34,Faherty2012,24.63,5.17,-30.63,5.14,Dupuy2012,22.065,0.695,Faherty2016,13.262,0.026,12.789,0.027,12.551,0.395,9.242,,,,,,,,,,,,,,,,,,,,,,,,,,,15.768,0.074,14.693,0.07,13.854,0.061,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,beta Pic,,,1,D,X,,,,,0,,,,,,,,,
SOri 66,,,,SOri 66,ZapateroOsorio2000,05 37 24.70,-02 31 52.0,84.352917,-2.531111,L3.5,Opt,BarradoyNavascuŽs2003,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 70,,,,SOri 70,ZapateroOsorio2002,05 38 10.10,-02 36 26.0,84.542084,-2.607222,T6:,NIR,Burgasser2006,Very Young?,ZapateroOsorio2002,Orion,Candidate?,ZapateroOsorio2002,(None),,,,,9.8,3.98,4.99,4.47,ZapateroOsorio2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,Orion,,,2,D,,,,1,,1,,,,,,,,,
SOri 67,,,,SOri 67,ZapateroOsorio2000,05 38 12.60,-02 21 38.0,84.5525,-2.360556,L5,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 47,05381462-0240154,053814.66-024014.8,,SOri 47,ZapateroOsorio1999,05 38 14.62,-02 40 15.4,84.560916,-2.670944,L0,Opt,Mcgovern2004,Very Young?,ZapateroOsorio1999,Orion,Candidate?,ZapateroOsorio1999,(None),,,,,54.8,34.3,45.9,40.4,GagneBDs,,,,15.473,0.055,15.357,0.137,>12.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.531,0.242,16.223,0.171,15.767,0.28,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 65,,,,SOri 65,ZapateroOsorio2000,05 38 26.10,-02 23 05.0,84.60875,-2.384722,L3.5,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 68,,,,SOri 68,ZapateroOsorio2000,05 38 39.10,-02 28 05.0,84.662916,-2.468056,L5,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 61,,,,SOri 61,ZapateroOsorio2000,05 38 52.60,-02 28 46.0,84.719166,-2.479444,L0,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 71,,,,SOri 71,BarradoyNavascuŽs2002,05 39 00.20,-02 37 06.0,84.750834,-2.618333,L0,Opt,ZapateroOsorio2000,Very Young?,BarradoyNavascuŽs2002,Orion,Candidate?,BarradoyNavascuŽs2002,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 56,,,,SOri 56,ZapateroOsorio2000,05 39 00.90,-02 21 42.0,84.75375,-2.361667,L0.5,Opt,ZapateroOsorio2000,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 58,,,,SOri 58,ZapateroOsorio2000,05 39 03.60,-02 25 36.0,84.765,-2.426667,L0,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 60,,,,SOri 60,ZapateroOsorio2000,05 39 37.50,-02 30 42.0,84.906251,-2.511667,L2,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
SOri 62,,,,SOri 62,ZapateroOsorio2000,05 39 42.10,-02 30 31.0,84.925416,-2.508611,L2,Opt,BarradoyNavascuŽs2001,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
J0539+5253,05394952+5253597,,,HIP 26653 B,Deacon2014,05 39 49.52,+52 53 59.8,84.956338,52.899944,L5,NIR,Deacon2014,Companion,Deacon2014,,,,(None),,27.95,0.73,VanLeuuwen2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.756,0.042,13.91,0.041,13.322,0.028,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0539-0059,05395200-0059019,053952.10-005858.1,,SDSSp J053951.99-005902.0,Fan2000,05 39 52.00,-00 59 01.9,84.966666,-0.983861,L5,Opt,Fan2000,,,,,,(None),,13.14,0.37,Vrba2004,164.37,2.23,315.89,3.21,Vrba2004,13.9,0.2,Blake2010,11.869,0.023,11.578,0.021,>11.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.033,0.029,13.104,0.024,12.527,0.023,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,0539-0059,0.931797,2.411698,1810.7,SpeX,IRTF,L5_SDSSJ0539-0059.txt,,
J0539-1034,,053957.00-103436.7,,WISEPA J053957.02-103436.5,Kirkpatrick2011,05 39 57.02,-10 34 36.5,84.987584,-10.576806,T5.5,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,16.845,0.134,14.764,0.077,>12.743,,>9.202,,,,,,,,,,,,16.145,0.032,Kirkpatrick2011,15.008,0.021,Kirkpatrick2011,,,,,,,,,,17.71,0.11,17.82,0.15,18.4,0.31,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
SOri 52,,,,SOri 52,ZapateroOsorio2000,05 40 09.20,-02 26 32.0,85.038333,-2.442222,L0,Opt,ZapateroOsorio2000,Very Young?,ZapateroOsorio2000,Orion,Candidate?,ZapateroOsorio2000,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Orion,,,1,D,,,,,,0,,,,,,,,,
J0540-0906,05402325-0906326,,,,,05 40 23.25,-09 06 32.6,85.096875,-9.109056,M9 beta,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,Columba,22,,,,37.6,9.8,-29.2,9.7,Faherty2016,,,,13.03,0.025,12.744,0.028,11.967,0.267,8.938,,,,,,,,,,,,,,,,,,,,,,,,,,,14.586,0.037,13.849,0.035,13.33,0.047,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columba,,,1,D,X,,,,,0,05402325-0906326,0.8881138,2.4675546,1134.3,FLAMINGOS-2,Montreal,J05402325-0906326.txt,,
